nombre,provincia
CEGYR,Buenos Aires
CER,Buenos Aires
CIMER,Buenos Aires
ECLOS MEDICINA REPRODUCTIVA LA PLATA,Buenos Aires
UNIDAD DE FERTILIDAD SAN ISIDRO,Buenos Aires
CRECER,Buenos Aires
ECLOS MEDICINA REPRODUCTIVA LA PLATA,Buenos Aires
FERTILIS,Buenos Aires
Gen & Med,Buenos Aires
GENS,Buenos Aires
GESTAR,Buenos Aires
HALITUS,Buenos Aires
HOSPITAL ITALIANO,Buenos Aires
IFER,Buenos Aires
IN VITRO BUENOS AIRES,Buenos Aires
PREGNA,Buenos Aires
INSTITUTO DE MEDICINA REPRODUCTIVA,Mendoza
AlBOR,Neuquén
IMER SUR,Neuquén
CEREH-Centro de Reproducción Humana,Jujuy
CERFH,Entre Ríos
HAVVA,Entre Ríos
CERFH–Centro de Estudios de Reproducción y Fertilidad Humana,Entre Ríos
CIGOR,Córdoba
ORIGEN,Córdoba
OVUM,Córdoba
FERTILIA,Tucumán
GENEVA,Tucumán
ITFER(Instituto Tucumano de Fertilidad),Tucumán
VITAE,Salta
VITA MEDICINA REPRODUCTIVA,Chubut
Protea,Chaco
Fertility Patagonia,Río Negro
